(.venv_cuda) PS F:\169\DEEPFAKE-Detection> python .\training\Appreanch\150_appreanch_train.py
======================================================================
APPEARANCE BRANCH - 150 SOURCE GROUP TEST
======================================================================
Device                : cuda
Batch Size            : 8
Gradient Accumulation : 2
Effective Batch Size  : 16
Epochs                : 3
Train CSV             : data/split/test_150/train.csv
Validation CSV        : data/split/test_150/val.csv
Checkpoint Directory  : checkpoints/appearance_test_150
======================================================================

Training samples      : 45,652
Validation samples    : 11,067
Loading weights: 100%|███████████████████████████████████████████████████████████████████████████████████████████████| 173/173 [00:00<00:00, 13880.19it/s]
Trainable Parameters  : 525,571

======================================================================
STARTING 150-SOURCE-GROUP TEST TRAINING
======================================================================

F:\169\.venv_cuda\Lib\site-packages\torch\utils\data\dataloader.py:1102: UserWarning: pin_memory_device is deprecated, the current accelerator will be used as the device,ignore pin_memory_device='cuda'.
  super().__init__(loader)
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!
Step 20/5707   Loss: 0.4653
Step 40/5707   Loss: 0.4483
Step 60/5707   Loss: 0.4168
Step 80/5707   Loss: 0.3881
Step 100/5707   Loss: 0.3873
Step 120/5707   Loss: 0.3760
Step 140/5707   Loss: 0.3602
Step 160/5707   Loss: 0.3548
Step 180/5707   Loss: 0.3424
Step 200/5707   Loss: 0.3358
Step 220/5707   Loss: 0.3319
Step 240/5707   Loss: 0.3273
Step 260/5707   Loss: 0.3286
Step 280/5707   Loss: 0.3292
Step 300/5707   Loss: 0.3242
Step 320/5707   Loss: 0.3198
Step 340/5707   Loss: 0.3164
Step 360/5707   Loss: 0.3158
Step 380/5707   Loss: 0.3168
Step 400/5707   Loss: 0.3171
Step 420/5707   Loss: 0.3173
Step 440/5707   Loss: 0.3171
Step 460/5707   Loss: 0.3164
Step 480/5707   Loss: 0.3141
Step 500/5707   Loss: 0.3124
Step 520/5707   Loss: 0.3082
Step 540/5707   Loss: 0.3061
Step 560/5707   Loss: 0.3041
Step 580/5707   Loss: 0.3036
Step 600/5707   Loss: 0.3015
Step 620/5707   Loss: 0.3001
Step 640/5707   Loss: 0.3008
Step 660/5707   Loss: 0.2989
Step 680/5707   Loss: 0.2966
Step 700/5707   Loss: 0.2967
Step 720/5707   Loss: 0.2998
Step 740/5707   Loss: 0.3029
Step 760/5707   Loss: 0.3028
Step 780/5707   Loss: 0.3028
Step 800/5707   Loss: 0.3034
Step 820/5707   Loss: 0.3032
Step 840/5707   Loss: 0.3004
Step 860/5707   Loss: 0.2978
Step 880/5707   Loss: 0.2985
Step 900/5707   Loss: 0.2987
Step 920/5707   Loss: 0.2973
Step 940/5707   Loss: 0.2976
Step 960/5707   Loss: 0.2964
Step 980/5707   Loss: 0.2959
Step 1000/5707   Loss: 0.2959
Step 1020/5707   Loss: 0.2954
Step 1040/5707   Loss: 0.2943
Step 1060/5707   Loss: 0.2942
Step 1080/5707   Loss: 0.2935
Step 1100/5707   Loss: 0.2929
Step 1120/5707   Loss: 0.2923
Step 1140/5707   Loss: 0.2920
Step 1160/5707   Loss: 0.2916
Step 1180/5707   Loss: 0.2923
Step 1200/5707   Loss: 0.2911
Step 1220/5707   Loss: 0.2904
Step 1240/5707   Loss: 0.2894
Step 1260/5707   Loss: 0.2886
Step 1280/5707   Loss: 0.2876
Step 1300/5707   Loss: 0.2875
Step 1320/5707   Loss: 0.2867
Step 1340/5707   Loss: 0.2850
Step 1360/5707   Loss: 0.2844
Step 1380/5707   Loss: 0.2839
Step 1400/5707   Loss: 0.2829
Step 1420/5707   Loss: 0.2820
Step 1440/5707   Loss: 0.2817
Step 1460/5707   Loss: 0.2809
Step 1480/5707   Loss: 0.2798
Step 1500/5707   Loss: 0.2795
Step 1520/5707   Loss: 0.2792
Step 1540/5707   Loss: 0.2788
Step 1560/5707   Loss: 0.2778
Step 1580/5707   Loss: 0.2768
Step 1600/5707   Loss: 0.2760
Step 1620/5707   Loss: 0.2751
Step 1640/5707   Loss: 0.2747
Step 1660/5707   Loss: 0.2740
Step 1680/5707   Loss: 0.2733
Step 1700/5707   Loss: 0.2728
Step 1720/5707   Loss: 0.2725
Step 1740/5707   Loss: 0.2720
Step 1760/5707   Loss: 0.2707
Step 1780/5707   Loss: 0.2704
Step 1800/5707   Loss: 0.2698
Step 1820/5707   Loss: 0.2687
Step 1840/5707   Loss: 0.2686
Step 1860/5707   Loss: 0.2673
Step 1880/5707   Loss: 0.2669
Step 1900/5707   Loss: 0.2662
Step 1920/5707   Loss: 0.2657
Step 1940/5707   Loss: 0.2653
Step 1960/5707   Loss: 0.2648
Step 1980/5707   Loss: 0.2643
Step 2000/5707   Loss: 0.2638
Step 2020/5707   Loss: 0.2633
Step 2040/5707   Loss: 0.2627
Step 2060/5707   Loss: 0.2618
Step 2080/5707   Loss: 0.2611
Step 2100/5707   Loss: 0.2605
Step 2120/5707   Loss: 0.2601
Step 2140/5707   Loss: 0.2597
Step 2160/5707   Loss: 0.2590
Step 2180/5707   Loss: 0.2582
Step 2200/5707   Loss: 0.2580
Step 2220/5707   Loss: 0.2575
Step 2240/5707   Loss: 0.2574
Step 2260/5707   Loss: 0.2567
Step 2280/5707   Loss: 0.2560
Step 2300/5707   Loss: 0.2551
Step 2320/5707   Loss: 0.2544
Step 2340/5707   Loss: 0.2543
Step 2360/5707   Loss: 0.2536
Step 2380/5707   Loss: 0.2532
Step 2400/5707   Loss: 0.2528
Step 2420/5707   Loss: 0.2524
Step 2440/5707   Loss: 0.2525
Step 2460/5707   Loss: 0.2519
Step 2480/5707   Loss: 0.2513
Step 2500/5707   Loss: 0.2507
Step 2520/5707   Loss: 0.2500
Step 2540/5707   Loss: 0.2500
Step 2560/5707   Loss: 0.2496
